"Codigo de via";"Clase de la via";"Particula de la via";"Nombre de la via";"Tipo de tramo ";"Nombre de la aproximacion";"Numero inicial del tramo";"Calificador del numero inicial del tramo";"Numero final del tramo";"Calificador del numero final del tramo";"Codigo postal";"Seccion de carteria"
"31001802";"CALLE                   ";"DEL   ";"CORTIJILLO                                      ";"impar";"NUM";"000001";"  ";"009999";"  ";"28052";"N/D"
"31001802";"CALLE                   ";"DEL   ";"CORTIJILLO                                      ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28052";"N/D"
"31001803";"CALLE                   ";"DEL   ";"CHARCO ALTO                                     ";"impar";"NUM";"000001";"  ";"009999";"  ";"28052";"N/D"
"31001803";"CALLE                   ";"DEL   ";"CHARCO ALTO                                     ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28052";"N/D"
"31001804";"CALLE                   ";"DEL   ";"CHARCO HONDO                                    ";"impar";"NUM";"000001";"  ";"009999";"  ";"28052";"N/D"
"31001804";"CALLE                   ";"DEL   ";"CHARCO HONDO                                    ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28052";"N/D"
"31001805";"CALLE                   ";"DE LA ";"CUESTA DEL VILLORIO                             ";"impar";"NUM";"000001";"  ";"009999";"  ";"28052";"N/D"
"31001805";"CALLE                   ";"DE LA ";"CUESTA DEL VILLORIO                             ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28052";"N/D"
"31001806";"CALLE                   ";"DEL   ";"ERIAL DE LA ABUELA                              ";"impar";"NUM";"000001";"  ";"009999";"  ";"28052";"N/D"
"31001806";"CALLE                   ";"DEL   ";"ERIAL DE LA ABUELA                              ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28052";"N/D"
"31001808";"CALLE                   ";"DEL   ";"CERRO DE LOS HOMBRES                            ";"impar";"NUM";"000001";"  ";"009999";"  ";"28052";"N/D"
"31001808";"CALLE                   ";"DEL   ";"CERRO DE LOS HOMBRES                            ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28052";"N/D"
"31001809";"CALLE                   ";"DE    ";"FERENC PUSKAS                                   ";"impar";"NUM";"000001";"  ";"009999";"  ";"28052";"N/D"
